,vehicle_id,vehicle_load,id,alias,node_type,x,y,distance_previous,waiting,earliest,arrival,latest,service_duration,departure
0,0,0,1,1,O_DEPOT,40.0,50.0,0.0,0.0,0,0.0,480,0,0.0
1,0,10,7,7,PU,15.0,80.0,39.05,13.14,60,60.0,300,0,60.0
2,0,30,8,8,PU,10.0,35.0,45.28,0.0,60,114.33,300,0,114.33
3,0,10,13,8*,DO,5.0,35.0,5.0,-0.0,120,120.33,360,0,120.33
4,0,30,6,6,PU,15.0,75.0,41.23,-0.0,120,169.81,360,0,169.81
5,0,20,12,7*,DO,18.0,75.0,3.0,0.0,120,173.41,360,0,173.41
6,0,0,11,6*,DO,20.0,80.0,5.39,0.13,180,180.0,420,0,180.0
7,0,20,5,5,PU,20.0,85.0,5.0,-0.0,180,186.0,420,0,186.0
8,0,40,4,4,PU,25.0,85.0,5.0,0.0,180,192.0,420,0,192.0
9,0,20,9,4*,DO,22.0,75.0,10.44,35.47,240,240.0,480,0,240.0
10,0,0,10,5*,DO,22.0,85.0,10.0,0.0,240,252.0,480,0,252.0
11,0,0,16,16,D_DEPOT,73.0,17.0,85.0,0.0,0,354.0,480,0,354.0
